image,gt,TP,FP,FN,precision,recall,F1,F2,inference_ms
gss1385_jpg.rf.3173192408e08667da18d2b58553dbdd.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.561
gss1385_jpg.rf.6cae1881e2bf19d85e55dc8e1fe31f05.jpg,5,5,1,0,0.833333,1.0,0.909091,0.961538,16.333
gss1385_jpg.rf.9ef59c14b59c20060b3890a23ff4158b.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.669
gss1385_jpg.rf.d5e404cc7e9581e17fb3b84700531057.jpg,2,2,0,0,1.0,1.0,1.0,1.0,16.555
gss1385_jpg.rf.d656cae968e8f8297e587d42c76b3ed7.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.516
gss1387_jpg.rf.6b1eb0b1b5210f2304d00b0240d97b13.jpg,2,2,0,0,1.0,1.0,1.0,1.0,16.755
gss1387_jpg.rf.8095c7007a8fd06536e945e289fbcff7.jpg,6,6,0,0,1.0,1.0,1.0,1.0,16.439
gss1387_jpg.rf.81a4cd36dad5f7c0ba6801dffd2574bc.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.667
gss1389_jpg.rf.633e59b68549b2064f61a2590e1382d4.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.778
gss1389_jpg.rf.9649984b7ef48ab35e663cd332225057.jpg,2,2,0,0,1.0,1.0,1.0,1.0,16.548
gss1389_jpg.rf.9c40e405a91970da475c623c6d76c721.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.709
gss1389_jpg.rf.c89d5d11527f1252b0578ecad11d85e1.jpg,6,6,1,0,0.857143,1.0,0.923077,0.967742,17.361
gss1397_jpg.rf.24f50345b182ead2ed2157533ba17a64.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.102
gss1397_jpg.rf.92a35749975d8299678f459c31861b5d.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.911
gss1397_jpg.rf.a868017fa81324197769e67c1e498868.jpg,1,1,0,0,1.0,1.0,1.0,1.0,17.134
gss1400_jpg.rf.344114a3b102d78ea45b93cf6c1fd2db.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.692
gss1400_jpg.rf.7488627c920cd35321de821d3388679b.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.959
gss1400_jpg.rf.7e9ad12488c3a8f2ada3cca06977c176.jpg,7,7,0,0,1.0,1.0,1.0,1.0,16.502
gss1402_jpg.rf.0a7830876165bc5b78a9f285329ecb7b.jpg,6,6,0,0,1.0,1.0,1.0,1.0,16.501
gss1402_jpg.rf.2176dde0ce3c92b00a50b6cb9b069d5c.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.803
gss1402_jpg.rf.3b023043df7816f069b62ac1dc2ce9dd.jpg,2,2,0,0,1.0,1.0,1.0,1.0,16.539
gss1411_jpg.rf.20262b89a3c908bfae1077c39df6c21b.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.643
gss1411_jpg.rf.310310b0fa0b17b4b2cdf5c6a4eb987d.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.802
gss1411_jpg.rf.6c882e017670be0367f7c8aeeb7c8132.jpg,7,5,0,2,1.0,0.714286,0.833333,0.757576,16.483
gss1413_jpg.rf.3ddd52651104526b9150a6ffc2367bca.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.639
gss1413_jpg.rf.57069f48251b30d332c8601b3da73c59.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.45
gss1413_jpg.rf.a5ddd1d920c72d7ff3f64ad3f8fad39f.jpg,7,5,1,2,0.833333,0.714286,0.769231,0.735294,16.503
gss1417_jpg.rf.0716917225015de38116e0b676f29e5c.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.514
gss1417_jpg.rf.3626ad995af37816a6adfbf79a6fbf7b.jpg,7,7,0,0,1.0,1.0,1.0,1.0,16.48
gss1417_jpg.rf.ed0cc7e2fa5f098d87e050cd7be6f1ac.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.627
gss1419_jpg.rf.030363e8ed2a00371d879e1e0cbf8eac.jpg,7,7,0,0,1.0,1.0,1.0,1.0,16.428
gss1419_jpg.rf.4bb9c3dfbaa4fe382065abcb03628712.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.75
gss1419_jpg.rf.4d6baa6089bd647481fd5a1e0e95222a.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.709
gss1427_jpg.rf.4355267ba50fbd5922cf54e18b7872d5.jpg,1,0,2,1,0.0,0.0,0.0,0.0,16.554
gss1427_jpg.rf.4806283162ea069c8fcbc130e23409ea.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.593
gss1427_jpg.rf.5990b54f11012efa5a869d3f44a5402e.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.594
gss1453_jpg.rf.6194491373fce088d84959ed52bb86e9.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.928
gss1453_jpg.rf.71a7015b7f6bef74ab0aff2841eb5a56.jpg,2,2,0,0,1.0,1.0,1.0,1.0,17.543
gss1474_jpg.rf.5904288e9f5349d64f9e69ba4c6a1239.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.977
gss1474_jpg.rf.904c01cb77d86de94b7c9d76f3871a0a.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.971
gss1474_jpg.rf.f455c96aaca6d1365441aba71407e5d5.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.673
gss148_jpg.rf.1311d1d64ded1ef2de32c11c79fa4c7b.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.882
gss148_jpg.rf.1c192ee424d661d546001557251cc277.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.644
gss148_jpg.rf.60c94c4c5cf23ac210ad60fbbe0e8038.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.443
gss1502_jpg.rf.8de6f15b62f91589c5be0f53110244ff.jpg,7,7,0,0,1.0,1.0,1.0,1.0,16.459
gss1502_jpg.rf.a8ae22f8fa6a97ca628fd2d5b0102062.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.436
gss1502_jpg.rf.ebd5a80851ccf704c737058e6ab62165.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.609
gss1521_jpg.rf.4903c59d9f20d15c378b40a5b599770f.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.734
gss1521_jpg.rf.92baec528356d225d2028d996112870d.jpg,2,2,0,0,1.0,1.0,1.0,1.0,16.633
gss1521_jpg.rf.fe04af71107e401d3e422e29913e782d.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.534
gss1522_jpg.rf.118349a362c9b70f23a1672480ccb3ce.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.003
gss1522_jpg.rf.331b3d5355647af99721ddac649483e9.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.148
gss1522_jpg.rf.ba214e15b45e0744137433c3e4eb10dc.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.935
gss1532_jpg.rf.1bd0f1d6c17bf3160ec1600974874398.jpg,1,1,0,0,1.0,1.0,1.0,1.0,17.228
gss1532_jpg.rf.8f4a39748d5482ba0eceb3797d4791fd.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.898
gss1533_jpg.rf.5acb828c1ca8bd68c403330f61f2d350.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.561
gss1533_jpg.rf.ff53558e097717b7fd37d4643090d404.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.657
gss1534_jpg.rf.a2ea4f0ac4a34b671f6ed2e027580e49.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.888
gss1534_jpg.rf.bd21a01bbefff26ed32fdb5bb452fc32.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.919
gss1541_jpg.rf.54b24f08d0a7649530f22293b246b12a.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.686
gss1541_jpg.rf.820fe7e6f6d6c0f96e1ddb260524321d.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.547
gss1541_jpg.rf.908638a67b54bfd299a8ca64447f8bb3.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.56
gss1552_jpg.rf.4116f8d9df777141422c015fa7018dd3.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.424
gss1552_jpg.rf.70dd9b3d4b284c848b913612d5160191.jpg,1,1,0,0,1.0,1.0,1.0,1.0,15.861
gss1552_jpg.rf.8c9ddf3493c3682cbf16cdcc7669e67f.jpg,1,0,0,1,0.0,0.0,0.0,0.0,16.598
gss1552_jpg.rf.cdcbb5aae756f4554b0e6807b79f083e.jpg,0,0,0,0,0.0,0.0,0.0,0.0,16.066
gss1570_jpg.rf.065c30803da4b73fd57197756e2aa9d1.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.889
gss1570_jpg.rf.c98944507245e4aec1d3505d7e4f26be.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.656
gss1570_jpg.rf.e481fe1e49d1f25168b698f67f1b90a8.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.55
