epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,6250.02,1.03337,0.62052,0.92005,0.87999,0.79631,0.84174,0.59008,0.82995,0.50219,0.8964,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
56,6364.7,1.03702,0.62337,0.92069,0.87973,0.79679,0.84206,0.5905,0.82945,0.50179,0.89624,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142,0.0276043,0.00920142
57,6478.48,1.02606,0.6184,0.9206,0.87954,0.79722,0.84214,0.59073,0.8287,0.5012,0.89611,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
58,6591.77,1.02744,0.61987,0.92116,0.87988,0.79735,0.84238,0.59093,0.82809,0.50104,0.89597,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
59,6704.17,1.02599,0.6193,0.92143,0.88007,0.7977,0.84252,0.59124,0.82738,0.50085,0.89577,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
60,6816.81,1.01859,0.61678,0.91994,0.87979,0.7978,0.84249,0.59157,0.82658,0.50064,0.89558,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488,0.0272546,0.00908488
61,6928.81,1.02157,0.618,0.92028,0.87999,0.79783,0.84265,0.59182,0.82606,0.50051,0.8954,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
62,7041.41,1.02048,0.61522,0.91901,0.88018,0.79811,0.84282,0.5921,0.82544,0.50004,0.89521,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395,0.0270718,0.00902395
63,7154.26,1.02733,0.61621,0.92066,0.88125,0.79724,0.84289,0.59234,0.82497,0.49985,0.8952,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
64,7268.12,1.02015,0.61325,0.91799,0.88126,0.79723,0.84294,0.59252,0.82452,0.49962,0.89505,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
65,7382.52,1.01887,0.6148,0.91652,0.88175,0.79755,0.84322,0.59272,0.82398,0.49929,0.89495,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
