epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
195,113.456,54.021,8703.6,0.89591,0.81448,0.8604,0.62578,0.0
196,112.982,54.247,8656.5,0.89569,0.81486,0.86039,0.62597,0.0
197,112.235,54.609,8516.1,0.8961,0.81462,0.86061,0.62643,0.0
198,111.838,54.803,8541.3,0.89608,0.81454,0.86077,0.62688,0.0
199,112.78,54.345,8709.2,0.89601,0.81522,0.8609,0.62722,0.0
200,112.256,54.598,8610.4,0.89638,0.8154,0.86103,0.62762,0.0
201,112.472,54.494,9298.0,0.89625,0.8153,0.8611,0.62791,0.0
202,114.287,53.628,8475.0,0.89689,0.8155,0.86127,0.62826,0.0
203,113.838,53.84,8479.4,0.89697,0.81552,0.86119,0.62868,0.0
204,112.724,54.372,8429.7,0.89677,0.81605,0.86137,0.62911,0.0
205,112.889,54.292,8617.9,0.897,0.81637,0.86154,0.62979,0.0
206,113.278,54.106,8656.3,0.89727,0.81655,0.86166,0.6298,0.0
207,112.407,54.525,8496.3,0.89754,0.81637,0.86173,0.63032,0.0
208,112.785,54.342,8625.8,0.89751,0.8171,0.8619,0.63078,0.0
209,112.724,54.372,8534.7,0.89697,0.81805,0.86206,0.63114,0.0
210,112.516,54.472,8669.7,0.89738,0.81791,0.86211,0.63139,0.0
211,113.164,54.16,8562.4,0.8971,0.81853,0.86223,0.6318,0.0
212,111.724,54.858,8582.3,0.89721,0.81848,0.86225,0.63197,0.0
213,114.48,53.538,8497.6,0.89716,0.81903,0.86233,0.63223,0.0
214,114.449,53.552,8622.6,0.89741,0.81896,0.86239,0.63259,0.0
215,113.995,53.766,8454.1,0.8979,0.81877,0.86256,0.63287,0.0
216,111.923,54.761,8699.5,0.89848,0.8186,0.86256,0.63312,0.0
217,114.539,53.51,8508.5,0.89838,0.81866,0.86281,0.63346,0.0
218,112.354,54.551,8477.7,0.89824,0.81914,0.86297,0.63378,0.0
219,111.964,54.741,8497.6,0.8979,0.81949,0.86299,0.63391,0.0
220,112.702,54.382,8578.1,0.89858,0.81902,0.86308,0.63426,0.0
221,112.423,54.517,8542.0,0.89848,0.81921,0.86306,0.63467,0.0
222,112.395,54.531,8439.1,0.89853,0.8196,0.86319,0.6347,0.0
223,113.083,54.199,8564.9,0.89858,0.81935,0.86321,0.635,0.0
224,113.601,53.952,8573.5,0.8987,0.8192,0.86336,0.63519,0.0
225,112.74,54.364,8573.9,0.89883,0.81916,0.86328,0.6354,0.0
226,113.136,54.174,8459.4,0.89925,0.81925,0.86341,0.63552,0.0
227,113.015,54.232,8575.1,0.89889,0.82012,0.86366,0.63585,0.0
228,112.036,54.706,8516.5,0.89889,0.82025,0.86365,0.63618,0.0
229,112.209,54.621,8528.5,0.89855,0.82058,0.86375,0.63641,0.0
230,112.99,54.244,8669.1,0.89848,0.82097,0.86366,0.63654,0.0
231,114.633,53.466,8639.3,0.89883,0.82104,0.86382,0.63687,0.0
232,114.514,53.522,8573.6,0.8988,0.821,0.86393,0.63705,0.0
233,112.154,54.648,8677.5,0.89892,0.82099,0.86397,0.63721,0.0
234,112.029,54.709,9000.9,0.89914,0.82114,0.86404,0.63736,0.0
