ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1780189296.0122125,44,20,9686.16015625,179.583,68
1780189298.0233002,92,73,9686.16015625,186.385,65
1780189300.0387642,33,15,9686.16015625,178.905,68
1780189302.0497122,90,69,9686.16015625,181.253,69
1780189304.0630035,91,72,9686.16015625,175.273,65
1780189306.0729628,53,35,9686.16015625,178.754,63
1780189308.087169,93,76,9686.16015625,186.727,70
1780189310.102606,49,27,9686.16015625,182.14,67
1780189312.1157756,66,48,9686.16015625,184.043,64
1780189314.12817,74,59,9686.16015625,180.018,67
1780189316.141829,90,74,9686.16015625,177.434,69
1780189318.1524372,85,66,9686.16015625,178.055,64
1780189320.1619754,26,3,9686.16015625,175.879,67
1780189322.1772645,94,75,9686.16015625,185.149,65
1780189324.1912892,91,69,9686.16015625,189.365,69
1780189326.2060935,57,32,5042.16015625,170.231,69
1780189328.2180383,86,62,5042.16015625,187.61,67
1780189330.2203047,39,21,5042.16015625,187.115,69
1780189332.2343862,62,52,5042.16015625,193.404,70
1780189334.2474916,68,53,5938.16015625,193.12,68
1780189336.2632506,98,81,9180.16015625,119.168,64
1780189338.2768683,88,67,9180.16015625,190.951,69
1780189340.2773225,60,43,9180.16015625,185.508,66
1780189342.2796261,91,75,9702.16015625,179.993,65
1780189344.2918162,86,68,9702.16015625,178.389,64
1780189346.30468,29,3,9702.16015625,173.633,66
1780189348.3189433,73,52,9702.16015625,183.206,68
1780189350.3335698,68,47,9702.16015625,178.897,63
1780189352.347438,96,79,9702.16015625,193.341,65
1780189354.3608537,91,80,9702.16015625,189.8,69
1780189356.375706,53,35,9702.16015625,184.562,63
1780189358.3895385,82,67,9702.16015625,179.267,69
1780189360.4050238,93,71,9702.16015625,178.88,68
1780189362.4164715,58,34,9702.16015625,187.682,67
1780189364.4224665,84,66,9702.16015625,184.845,64
1780189366.432388,92,73,9702.16015625,179.661,65
1780189368.4373612,91,69,9702.16015625,185.278,69
1780189370.4525826,90,74,9702.16015625,189.658,69
1780189372.464935,73,53,9702.16015625,187.95,68
