epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
205,132.664,46.245,8481.0,0.891,0.81971,0.86384,0.63827,49664.66354319908
206,132.591,46.27,7791.8,0.89107,0.81954,0.86373,0.63828,0.0
207,132.583,46.273,7901.7,0.89154,0.81936,0.86382,0.6383,10993.732960262727
208,132.579,46.274,7817.0,0.8914,0.81926,0.86373,0.6383,0.0
209,132.466,46.314,7843.4,0.89167,0.81938,0.86389,0.63832,16385.610695641753
210,132.379,46.344,7769.3,0.89187,0.81936,0.8639,0.63831,0.0
211,133.133,46.082,7984.8,0.89184,0.81934,0.86396,0.63839,18447.586887416404
212,132.6,46.267,7841.5,0.892,0.81908,0.86384,0.63822,0.0
213,132.791,46.2,8032.6,0.89197,0.81918,0.86379,0.63814,54257.14036221732
214,132.412,46.333,8107.8,0.89228,0.81869,0.86366,0.63825,0.0
215,132.422,46.329,8033.8,0.8917,0.81904,0.86351,0.63804,42850.737864913
216,132.725,46.223,8008.4,0.89171,0.81882,0.8634,0.63785,0.0
217,132.177,46.415,7924.5,0.89135,0.81906,0.86341,0.63792,88470.30408583196
218,132.669,46.243,7754.5,0.89187,0.81829,0.86332,0.63784,0.0
219,132.697,46.233,7730.2,0.89155,0.81788,0.86322,0.63776,42302.44442960025
220,132.243,46.392,7575.9,0.8917,0.81763,0.86309,0.6376,0.0
221,132.603,46.266,7975.0,0.89156,0.81759,0.86298,0.63751,26808.50185221803
222,132.623,46.259,7791.6,0.89182,0.81736,0.86289,0.63738,0.0
223,132.549,46.285,7858.8,0.89157,0.81793,0.86295,0.6375,42798.338064111325
224,132.943,46.148,7769.2,0.89174,0.81775,0.86283,0.63749,0.0
225,132.699,46.232,8135.3,0.89199,0.81744,0.86268,0.63746,33688.03526351521
226,132.666,46.244,7948.2,0.89182,0.81798,0.86281,0.63747,0.0
227,132.461,46.316,8040.3,0.89184,0.81808,0.86272,0.63748,18772.243948756142
228,132.727,46.223,7622.2,0.89182,0.81786,0.86268,0.6375,0.0
229,132.503,46.301,8020.8,0.89228,0.81756,0.86249,0.6374,17395.059932664823
230,132.308,46.369,8077.4,0.89177,0.81797,0.86236,0.63738,0.0
231,132.772,46.207,7719.1,0.89164,0.81829,0.86236,0.63736,25310.589450187934
232,132.979,46.135,7904.4,0.8919,0.81801,0.86237,0.63742,0.0
233,132.463,46.315,7943.5,0.89212,0.81786,0.86222,0.63733,18712.114464058966
234,132.526,46.293,7684.5,0.89238,0.81743,0.86217,0.63733,0.0
235,132.931,46.152,8026.7,0.89216,0.81755,0.86213,0.63722,38079.59878363226
236,132.522,46.294,8017.9,0.89184,0.81805,0.86198,0.63718,0.0
237,133.015,46.123,8099.2,0.89211,0.81774,0.86192,0.63705,13785.992411354997
238,132.538,46.289,7710.6,0.89216,0.81771,0.86191,0.63694,0.0
239,132.397,46.338,8244.1,0.89237,0.81756,0.86189,0.6369,23527.77061442783
240,132.497,46.303,7809.7,0.89287,0.81755,0.86194,0.63695,0.0
241,132.469,46.313,8106.5,0.89231,0.81784,0.86191,0.63702,19578.752700272027
242,132.42,46.33,7684.7,0.8924,0.81771,0.86188,0.63701,0.0
243,132.574,46.276,7953.0,0.89188,0.81804,0.8619,0.63717,31303.72079619507
244,132.426,46.328,8108.3,0.89234,0.81761,0.86178,0.63695,0.0
245,132.827,46.188,8040.6,0.89176,0.8178,0.86173,0.63692,56907.24521086129
246,132.656,46.247,8053.4,0.89154,0.81797,0.86167,0.63687,0.0
247,132.399,46.337,7725.5,0.8916,0.81795,0.86169,0.63685,65773.95761402126
248,132.64,46.253,8081.5,0.89175,0.81774,0.8615,0.63682,0.0
249,132.484,46.307,8317.4,0.89156,0.81773,0.86146,0.63671,19844.245053161747
250,132.456,46.317,8125.0,0.89123,0.81797,0.86142,0.63684,0.0
