ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1783477343.2681785,81,65,13080.16015625,172.823,68
1783477345.2928965,80,63,13080.16015625,187.801,67
1783477347.3094008,77,61,13080.16015625,179.391,67
1783477349.3145797,78,61,13080.16015625,159.063,68
1783477351.3194015,85,69,13080.16015625,176.181,69
1783477353.3298805,79,62,13080.16015625,188.87,68
1783477355.3914707,80,65,13080.16015625,186.814,66
1783477357.3981962,80,69,13080.16015625,186.153,70
1783477359.4030938,73,57,13080.16015625,190.49,69
1783477361.426834,16,11,13080.16015625,155.313,64
1783477363.4417582,69,58,13080.16015625,168.397,69
1783477365.4426477,79,64,13080.16015625,179.1,66
1783477367.4471424,89,74,13080.16015625,182.605,69
1783477369.4481356,70,57,13080.16015625,182.53,69
1783477371.45793,51,38,13080.16015625,192.204,69
1783477373.4580224,63,52,13080.16015625,187.035,69
1783477375.4784844,80,64,13080.16015625,180.976,68
1783477377.521222,88,71,13080.16015625,180.065,70
1783477379.525899,80,64,13080.16015625,188.17,67
1783477381.5263877,28,19,13080.16015625,187.379,66
1783477383.5440328,80,64,13080.16015625,186.602,66
1783477385.5526583,67,58,13080.16015625,185.753,70
1783477387.571973,48,38,13080.16015625,170.987,67
1783477389.5810657,94,79,13080.16015625,174.309,70
1783477391.597374,78,61,13080.16015625,191.369,69
1783477393.6054459,50,38,13080.16015625,190.065,66
1783477395.6136363,82,66,13080.16015625,185.112,69
1783477397.6431267,81,69,13080.16015625,190.92,70
1783477399.6512914,57,49,13080.16015625,179.155,69
1783477401.651675,45,39,13080.16015625,144.551,67
1783477403.6558955,69,53,13080.16015625,155.566,67
1783477405.6575465,73,63,13080.16015625,174.844,68
1783477407.6614215,38,26,3154.16015625,121.127,64
1783477409.6639822,44,31,4612.16015625,157.791,65
1783477411.6687665,45,31,5950.16015625,172.883,66
1783477413.6975942,61,50,6482.16015625,168.216,70
1783477415.710392,93,85,7206.16015625,173.86,69
1783477417.725127,83,74,7206.16015625,181.046,70
1783477419.7260113,52,40,7206.16015625,177.669,65
1783477421.7400327,51,42,7206.16015625,180.479,68
