ts,cpu_pct,ram_used_GB,ram_pct
1783465732.865421,47.6,60.05626678466797,47.0
1783465734.8723316,35.6,59.93863296508789,46.9
1783465736.8825295,18.3,59.7943115234375,46.8
1783465739.0303726,43.7,59.43564224243164,46.5
1783465741.1262763,41.8,59.81676483154297,46.8
1783465743.1443686,45.2,59.82609939575195,46.8
1783465745.1725595,33.0,59.888397216796875,46.9
1783465747.1838849,43.8,59.736907958984375,46.8
1783465749.192989,23.6,59.78785705566406,46.8
1783465751.2045126,43.4,59.68185806274414,46.7
1783465753.2268262,32.6,59.77717590332031,46.8
1783465755.2435067,44.6,60.1635627746582,47.1
1783465757.244512,43.6,60.19571304321289,47.1
1783465759.2554333,27.0,60.02870559692383,47.0
1783465761.2667181,51.0,59.76324462890625,46.8
1783465763.2756264,22.1,59.741783142089844,46.8
1783465765.287112,42.4,59.71003341674805,46.7
1783465767.2980735,46.4,59.7188606262207,46.7
1783465769.3107166,37.3,60.377262115478516,47.3
1783465771.352801,43.5,59.99690628051758,47.0
1783465773.3647647,31.1,59.970619201660156,46.9
1783465775.3737235,44.3,60.020084381103516,47.0
1783465777.38336,20.7,59.903926849365234,46.9
1783465779.4055622,38.2,59.82322692871094,46.8
1783465781.409576,50.5,60.30291748046875,47.2
1783465783.4347641,37.6,60.264129638671875,47.2
1783465785.5020313,39.3,60.210140228271484,47.1
1783465787.5175915,43.7,60.001949310302734,47.0
1783465789.528373,29.7,59.99458694458008,47.0
1783465791.5370152,21.8,59.95274353027344,46.9
1783465793.6720629,42.8,59.898048400878906,46.9
1783465795.6817122,52.3,60.260826110839844,47.2
1783465797.689936,48.9,60.208335876464844,47.1
1783465799.6986747,24.5,60.25463104248047,47.2
1783465801.710435,41.8,60.14738082885742,47.1
1783465803.7227468,26.9,59.93632507324219,46.9
1783465805.731008,41.8,59.70512771606445,46.7
1783465807.741016,44.9,60.16587448120117,47.1
1783465809.9092858,36.8,60.22481155395508,47.1
1783465811.9185708,48.9,60.22634506225586,47.1
1783465813.9308782,25.9,60.231536865234375,47.1
1783465815.9665642,44.9,60.235801696777344,47.1
1783465817.9964015,55.1,60.24732971191406,47.2
1783465820.0261354,37.1,59.750911712646484,46.8
1783465822.0353174,50.1,59.778541564941406,46.8
1783465824.0519447,16.9,59.476234436035156,46.6
1783465826.1034653,48.9,59.42563247680664,46.5
1783465828.110176,50.6,60.267250061035156,47.2
1783465830.1251297,35.0,60.56782531738281,47.4
1783465832.1306381,34.0,60.45232009887695,47.3
1783465834.13938,38.9,60.198368072509766,47.1
1783465836.1494176,46.2,59.95093536376953,46.9
1783465838.1596148,17.7,59.879730224609375,46.9
1783465840.218561,47.5,59.89034652709961,46.9
1783465842.2277567,39.4,60.36948013305664,47.2
1783465844.2333531,45.5,60.35508728027344,47.2
1783465846.2444477,34.5,60.36989974975586,47.2
1783465848.2566373,47.6,60.001220703125,47.0
1783465850.2687466,19.0,59.95332336425781,46.9
1783465852.276279,36.0,59.512908935546875,46.6
1783465854.2923942,39.5,60.07796096801758,47.0
1783465856.346211,47.7,60.95168685913086,47.7
1783465858.3534951,41.9,60.56715774536133,47.4
1783465860.3863966,28.2,60.55413055419922,47.4
1783465862.3885915,41.7,60.19358825683594,47.1
1783465864.3983936,22.6,60.07148742675781,47.0
1783465866.4130409,40.4,60.22151565551758,47.1
1783465868.422427,42.2,60.42930221557617,47.3
1783465870.4350843,45.5,60.36771011352539,47.2
1783465872.4465146,31.1,60.40523910522461,47.3
1783465874.4641285,46.4,59.942317962646484,46.9
1783465876.4681082,37.3,60.00662612915039,47.0
1783465878.476965,26.6,59.845516204833984,46.8
1783465880.5012164,37.2,60.085105895996094,47.0
1783465882.514056,44.5,60.40939712524414,47.3
1783465884.5268881,42.9,60.42189407348633,47.3
1783465886.532895,41.6,60.03270721435547,47.0
1783465888.5444026,36.4,59.83736801147461,46.8
1783465890.5496366,22.3,59.746089935302734,46.8
1783465892.5642242,43.4,59.6068229675293,46.7
1783465894.5774226,31.6,60.01457214355469,47.0
1783465896.5994418,45.8,60.31664276123047,47.2
1783465898.6124785,36.1,60.32001876831055,47.2
1783465900.620474,40.9,60.12773513793945,47.1
1783465902.6305,41.7,59.995521545410156,47.0
1783465904.6407096,15.5,59.92094421386719,46.9
1783465906.6703684,50.5,59.72938537597656,46.7
1783465908.7315855,55.4,59.9599609375,46.9
1783465910.7463737,31.7,60.3293342590332,47.2
1783465912.7620854,34.1,60.35471725463867,47.2
1783465914.7688792,41.5,60.06843948364258,47.0
1783465916.7805269,43.8,60.03288650512695,47.0
1783465918.790845,20.8,59.60833740234375,46.7
1783465920.8016524,46.0,60.130245208740234,47.1
1783465922.8136785,40.8,59.94893264770508,46.9
1783465924.8215034,45.4,59.97358322143555,46.9
1783465926.8337193,32.9,60.033531188964844,47.0
1783465928.8417842,43.9,59.9520149230957,46.9
1783465930.8494315,28.6,59.91691589355469,46.9
1783465932.874219,34.1,59.822845458984375,46.8
1783465934.875921,40.8,59.85924530029297,46.9
1783465936.8883684,43.9,60.52281188964844,47.4
1783465938.8998177,39.0,60.38100814819336,47.3
1783465940.9096909,41.6,60.06880569458008,47.0
1783465942.9189053,37.7,59.861419677734375,46.9
1783465944.9308815,20.2,59.80002975463867,46.8
1783465946.9492502,46.1,59.81724166870117,46.8
1783465948.986454,34.3,59.8494987487793,46.8
